Approved.symbol	Previous.symbols	Alias.symbols	NCBI.Gene.ID	Ensembl.gene.ID
HELT	NA	HESL, HCM1228, Mgn, bHLHb44, MEGANE	391723	ENSG00000187821
HELZ	NA	KIAA0054, HUMORF5, DHRC	9931	ENSG00000198265
HELZ2	NA	PDIP1, PRIC285, KIAA1769	85441	ENSG00000130589
HEMGN	NA	EDAG, CT155, NDR	55363	ENSG00000136929
HEMK1	NA	MTQ1	51409	ENSG00000114735
HEN1~withdrawn	NA	NA	NA	NA
HEN2~withdrawn	NA	NA	NA	NA
HENMT1	C1orf59	FLJ30525, HEN1	113802	ENSG00000162639
HEP10	NA	NA	NA	NA
HEPACAM	NA	FLJ25530, GLIALCAM	220296	ENSG00000165478
HEPACAM2	NA	FLJ38683	253012	ENSG00000188175
HEPH	NA	KIAA0698, CPL	9843	ENSG00000089472
HEPHL1	NA	DKFZp686F22190	341208	ENSG00000181333
HEPN1	NA	NA	641654	ENSG00000221932
HERC1	NA	p532, p619	8925	ENSG00000103657
HERC2	NA	jdf2, p528, D15F37S1	8924	ENSG00000128731
HERC2P1	NA	D15F37S2	8917	ENSG00000261401
HERC2P2	NA	D15F37S3	400322	ENSG00000276550
HERC2P3	NA	D15F37S4, LOC283755	283755	ENSG00000180229
HERC2P4	NA	D16F37S5	100289574	ENSG00000230267
HERC2P5	NA	D16F37S6	388254	ENSG00000260644
HERC2P6	NA	NA	8918	ENSG00000261418
HERC2P7	NA	NA	100132101	ENSG00000281909
HERC2P8	NA	NA	440366	ENSG00000261599
HERC2P9	NA	FLJ59185	440248	ENSG00000206149
HERC2P10	NA	NA	390561	ENSG00000259845
HERC2P11	NA	NA	100996738	ENSG00000261581
HERC3	NA	KIAA0032	8916	ENSG00000138641
HERC4	NA	DKFZP564G092, KIAA1593	26091	ENSG00000148634
HERC5	NA	CEB1	51191	ENSG00000138646
HERC6	NA	FLJ20637	55008	ENSG00000138642
HERPUD1	NA	KIAA0025, Mif1, HERP, SUP	9709	ENSG00000051108
HERPUD2	NA	FLJ22313	64224	ENSG00000122557
HES1	HRY	FLJ20408, HES-1, bHLHb39	3280	ENSG00000114315
HES2	NA	bHLHb40	54626	ENSG00000069812
HES3	NA	bHLHb43	390992	ENSG00000173673
HES4	NA	bHLHb42	57801	ENSG00000188290
HES5	NA	bHLHb38	388585	ENSG00000197921
HES6	NA	bHLHb41	55502	ENSG00000144485
HES7	NA	bHLHb37	84667	ENSG00000179111
HESX1	NA	RPX, ANF	8820	ENSG00000163666
HEXA	NA	NA	3073	ENSG00000213614
HEXA-AS1	C15orf34	FLJ13315	80072	ENSG00000260339
HEXB	NA	NA	3074	ENSG00000049860
HEXD	HEXDC	FLJ23825	284004	ENSG00000169660
HEXD-IT1	HEXDC-IT1	NA	100505970	ENSG00000279066
HEXIM1	NA	CLP-1, HIS1, MAQ1, EDG1	10614	ENSG00000186834
HEXIM2	NA	FLJ32384	124790	ENSG00000168517
HEY1	NA	HESR-1, CHF2, HESR1, HRT-1, CHF-2, HERP2, bHLHb31	23462	ENSG00000164683
HEY2	NA	bHLHb32, HERP1, HESR2	23493	ENSG00000135547
HEYL	NA	bHLHb33, HEY3, HESR3	26508	ENSG00000163909
HF2~withdrawn	NA	HF	NA	NA
HFC1~withdrawn	NA	NA	NA	NA
HFE	NA	HLA-H, HFE1	3077	ENSG00000010704
HFM1	SEC63D1	MER3, FLJ39011, FLJ36760	164045	ENSG00000162669
HFSP~withdrawn	NA	NA	NA	NA
HGD	AKU	HGO	3081	ENSG00000113924
HGF	DFNB39	SF, F-TCF, HGFB, HPTA	3082	ENSG00000019991
HGFAC	NA	HGFAP, HGFA	3083	ENSG00000109758
HGFL~withdrawn	NA	NA	NA	NA
HGH1	C8orf30A, FAM203B, C8orf30B, FAM203A	FLJ40907, LOC51236, Brp16	51236	ENSG00000235173
HGL~withdrawn	NA	NA	NA	NA
HGPPS~withdrawn	HGPPS	HGPS	NA	NA
HGS	NA	Hrs, ZFYVE8, Vps27	9146	ENSG00000185359
HGSNAT	TMEM76	FLJ32731, HGNAT	138050	ENSG00000165102
HHAT	NA	FLJ10724, MART-2, MART2, Skn, ski, rasp, sit, GUP2	55733	ENSG00000054392
HHATL	C3orf3, GUP1	KIAA1173, OACT3, MSTP002, MBOAT3	57467	ENSG00000010282
HHATL-AS1	NA	NA	NA	ENSG00000230970
HHC1~withdrawn	NA	NA	NA	NA
HHC2~withdrawn	NA	FBH, FBH2, FHH2	NA	NA
HHC3~withdrawn	NA	FBHOk, FBH3	NA	NA
HHEX	PRHX	HEX, HOX11L-PEN	3087	ENSG00000152804
HHG~withdrawn	NA	ULG5	NA	NA
HHH~withdrawn	NA	NA	NA	NA
HHIP	NA	HIP, FLJ20992	64399	ENSG00000164161
HHIP-AS1	NA	NA	646576	ENSG00000248890
HHIPL1	KIAA1822	NA	84439	ENSG00000182218
HHIPL2	KIAA1822L	FLJ13840	79802	ENSG00000143512
HHLA1	PLA2L	NA	10086	ENSG00000132297
HHLA2	NA	B7H7, B7-H5, B7y, B7-H7	11148	ENSG00000114455
HHLA3	NA	NA	11147	ENSG00000197568
HHLA3-AS1	NA	NA	102724548	ENSG00000226088
HIBADH	NA	NS5ATP1	11112	ENSG00000106049
HIBCH	NA	NA	26275	ENSG00000198130
HIC1	NA	ZBTB29, ZNF901	3090	ENSG00000177374
HIC2	NA	KIAA1020, HRG22, ZBTB30, ZNF907	23119	ENSG00000169635
HID1	C17orf28	DMC1, HID-1	283987	ENSG00000167861
HID1-AS1	NA	NA	102723641	ENSG00000263586
HIF1A	NA	MOP1, HIF-1alpha, PASD8, HIF1, bHLHe78	3091	ENSG00000100644
HIF1A-AS1	NA	5'aHIF-1A	100750246	ENSG00000258777
HIF1A-AS2	NA	3'aHIF-1A, aHIF	100750247	NA
HIF1A-AS3	NA	NA	105370526	ENSG00000258667
HIF1AN	NA	FLJ20615, DKFZp762F1811, FLJ22027, FIH1	55662	ENSG00000166135
HIF1AP1	NA	NA	100874523	ENSG00000258978
HIF3A	NA	IPAS, MOP7, PASD7, bHLHe17	64344	ENSG00000124440
HIGD1A	NA	HIG1, DKFZP564K247, RCF1A	25994	ENSG00000181061
HIGD1AP1	HIGD1D, HIGD1DP	NA	100129086	ENSG00000258016
HIGD1AP2	NA	NA	100874450	ENSG00000237148
HIGD1AP3	NA	NA	100859920	ENSG00000248929
HIGD1AP4	NA	NA	NA	ENSG00000233299
HIGD1AP5	NA	NA	100289300	ENSG00000255254
HIGD1AP6	NA	NA	100874436	ENSG00000253229
HIGD1AP7	NA	NA	NA	NA
HIGD1AP8	NA	NA	NA	ENSG00000237303
HIGD1AP9	NA	NA	NA	ENSG00000258104
HIGD1AP10	NA	NA	100287960	ENSG00000254455
HIGD1AP11	NA	NA	NA	ENSG00000227644
HIGD1AP12	NA	NA	100130383	ENSG00000236012
HIGD1AP13	NA	NA	100874454	ENSG00000251019
HIGD1AP14	NA	NA	NA	ENSG00000248785
HIGD1AP15	NA	NA	NA	ENSG00000237005
HIGD1AP16	NA	NA	NA	ENSG00000219608
HIGD1AP17	NA	NA	100874477	ENSG00000258886
HIGD1AP18	NA	NA	NA	ENSG00000253952
HIGD1B	NA	CLST11240, CLST11240-15	51751	ENSG00000131097
HIGD1C	NA	Gm921	613227	ENSG00000214511
HIGD2A	NA	MGC2198, RCF1B	192286	ENSG00000146066
HIGD2AP1	NA	NA	100289360	ENSG00000230047
HIGD2AP2	NA	NA	112268442	ENSG00000235695
HIGD2B	HIGD2BP	NA	123346	ENSG00000175202
HIGM1~withdrawn	NA	NA	NA	NA
HIKESHI	C11orf73	HSPC138, HSPC179, OPI10	51501	ENSG00000149196
HIKESHIP1	NA	NA	100217367	ENSG00000226774
HIKESHIP2	NA	NA	NA	ENSG00000267544
HIKESHIP3	NA	NA	NA	ENSG00000271081
HILPDA	C7orf68	FLJ21076, HIG-2, HIG2	29923	ENSG00000135245
HINFP	MIZF	DKFZP434F162, HiNF-P, ZNF743	25988	ENSG00000172273
HINT1	PRKCNH1, HINT	PKCI-1	3094	ENSG00000169567
HINT1P1	NA	HINTP1	730647	ENSG00000231531
HINT1P2	NA	NA	100233146	ENSG00000271159
HINT2	NA	NA	84681	ENSG00000137133
HINT2P1	NA	NA	101929471	ENSG00000230398
HINT3	NA	FLJ33126, HINT4	135114	ENSG00000111911
HIP1	NA	ILWEQ	3092	ENSG00000127946
HIP1R	NA	KIAA0655, HIP3, HIP12, FLJ14000, ILWEQ	9026	ENSG00000130787
HIPK1	NA	KIAA0630, Myak, MGC26642, Nbak2, MGC33446, MGC33548	204851	ENSG00000163349
HIPK1-AS1	NA	NA	101928846	ENSG00000235527
HIPK2	NA	NA	28996	ENSG00000064393
HIPK3	NA	PKY, DYRK6, YAK1, FIST3	10114	ENSG00000110422
HIPK4	NA	FLJ32818	147746	ENSG00000160396
HIRA	TUPLE1	DGCR1, TUP1	7290	ENSG00000100084
HIRAP1	NA	NA	100422545	ENSG00000271563
HIRIP3	NA	NA	8479	ENSG00000149929
HIS~withdrawn	NA	NA	NA	NA
HIST2H3B	NA	HIST2H3PS1	NA	NA
HIVE1~withdrawn	NA	NA	NA	NA
HIVEP1	ZNF40	CIRIP, MBP-1, CRYBP1, PRDII-BF1, ZAS1, Schnurri-1, ZNF40A	3096	ENSG00000095951
HIVEP2	NA	MBP-2, HIV-EP2, MIBP1, ZAS2, Schnurri-2, ZNF40B	3097	ENSG00000010818
HIVEP3	NA	KRC, KBP1, KBP-1, SHN3, FLJ16752, KIAA1555, ZAS3, Schnurri-3, ZNF40C	59269	ENSG00000127124
HJURP	NA	DKFZp762E1312, URLC9, hFLEG1, FAKTS	55355	ENSG00000123485
HJV	HFE2	JH, HFE2A, RGMC, hemojuvelin, haemojuvelin	148738	ENSG00000168509
HK1	NA	NA	3098	ENSG00000156515
HK2	NA	NA	3099	ENSG00000159399
HK2P1	HK2P	NA	642546	ENSG00000228612
HK2P2	NA	NA	NA	NA
HK3	NA	NA	3101	ENSG00000160883
HKDC1	NA	FLJ37767, FLJ22761	80201	ENSG00000156510
HLA-A	NA	NA	3105	ENSG00000206503
HLA-B	AS	NA	3106	ENSG00000234745
HLA-C	HLA-JY3, D6S204, PSORS1	NA	3107	ENSG00000204525
HLA-DMA	NA	D6S222E, RING6	3108	ENSG00000204257
HLA-DMB	NA	D6S221E, RING7	3109	ENSG00000242574
HLA-DOA	HLA-DZA, HLA-DNA	HLA-D0-alpha	3111	ENSG00000204252
HLA-DOB	NA	NA	3112	ENSG00000241106
HLA-DPA1	HLA-DP1A	NA	3113	ENSG00000231389
HLA-DPA2	HLA-DP2A	NA	646702	ENSG00000231461
HLA-DPA3	NA	NA	267013	ENSG00000237398
HLA-DPB1	HLA-DP1B	NA	3115	ENSG00000223865
HLA-DPB2	HLA-DP2B	DP2B, DPB2	3116	ENSG00000224557
HLA-DQA1	HLA-DQA	CELIAC1	3117	ENSG00000196735
HLA-DQA2	HLA-DXA	NA	3118	ENSG00000237541
HLA-DQB1	HLA-DQB	IDDM1, CELIAC1	3119	ENSG00000179344
HLA-DQB1-AS1	NA	NA	NA	ENSG00000223534
HLA-DQB2	HLA-DXB	NA	3120	ENSG00000232629
HLA-DQB3	HLA-DVB	D6S205, D6S205E, DVB, DQB3	3121	ENSG00000226030
HLA-DRA	HLA-DRA1	NA	3122	ENSG00000204287
HLA-DRB1	HLA-DR1B	NA	3123	ENSG00000196126
HLA-DRB1L~withdrawn	NA	NA	NA	NA
HLA-DRB2	HLA-DR2B	NA	3124	ENSG00000227442
HLA-DRB3	HLA-DR3B	NA	3125	ENSG00000196101
HLA-DRB4	HLA-DR4B	NA	3126	ENSG00000227357
HLA-DRB5	NA	NA	3127	ENSG00000198502
HLA-DRB6	NA	NA	3128	ENSG00000229391
HLA-DRB7	NA	NA	3129	ENSG00000227099
HLA-DRB8	NA	NA	3130	ENSG00000233697
HLA-DRB9	HLA-DRB1L, HLA-DR1BL	D6S206, D6S206E	3132	ENSG00000196301
HLA-DVB~withdrawn	NA	NA	NA	NA
HLA-DXA~withdrawn	NA	NA	NA	NA
HLA-DXB~withdrawn	NA	NA	NA	NA
HLA-DZA~withdrawn	NA	NA	NA	NA
HLA-E	NA	NA	3133	ENSG00000204592
HLA-F	NA	NA	3134	ENSG00000204642
HLA-F-AS1	NA	NA	285830	ENSG00000214922
HLA-G	NA	NA	3135	ENSG00000204632
HLA-H	NA	NA	3136	ENSG00000206341
HLA-J	HLA-CDA12, D6S203	CDA12, HLA-59	3137	ENSG00000204622
HLA-JY3~withdrawn	NA	NA	NA	NA
HLA-K	HLAK, HLA70	HLA-70	3138	ENSG00000230795
HLA-L	HLA92, HLAL	HLA-92	3139	ENSG00000243753
HLA-N	NA	HLA-30	267014	ENSG00000224372
HLA-P	C6orf101, HLA-90	dJ377H14.3	352963	ENSG00000261548
HLA-S	NA	HLA-17	267015	ENSG00000225851
HLA-T	HLA-16	NA	352964	ENSG00000231130
HLA-U	HLA-21	Em:AB023056.13	352965	ENSG00000228078
HLA-V	HLA-75	dJ377H14.4	352962	ENSG00000181126
HLA-W	HLA-80	NA	352966	ENSG00000235290
HLA-X	NA	NA	267016	NA
HLA-Y	NA	HLA-BEL/COQ/DEL	100127173	NA
HLA-Z	NA	HLA-Z1	267017	ENSG00000235301
HLA70~withdrawn	NA	NA	NA	NA
HLA92~withdrawn	NA	NA	NA	NA
HLAK~withdrawn	NA	NA	NA	NA
HLAL~withdrawn	NA	NA	NA	NA
HLCS	NA	HCS	3141	ENSG00000159267
HLCS-IT1	NA	NA	NA	ENSG00000237646
HLF	NA	MGC33822	3131	ENSG00000108924
HLFP1	NA	NA	NA	ENSG00000218194
HLTF	SNF2L3, SMARCA3	HIP116A, HLTF1, RNF80	6596	ENSG00000071794
HLTF-AS1	NA	NA	NA	ENSG00000239718
HLX	HLX1	HB24	3142	ENSG00000136630
HLX-AS1	NA	NA	100873924	ENSG00000257551
HM13	NA	H13, dJ324O17.1, SPP, PSL3, IMP1, IMPAS, PSENL3, SPPL1	81502	ENSG00000101294
HM13-AS1	NA	NA	NA	ENSG00000230613
HM13-IT1	NA	NA	NA	ENSG00000235313
HMAA	NA	NA	NA	NA
HMAB	NA	NA	NA	NA
HMBOX1	NA	HNF1LA, PBHNF, FLJ21616, HOT1	79618	ENSG00000147421
HMBOX1-IT1	NA	NA	NA	ENSG00000259196
HMBOX1-OT1	NA	NA	NA	NA
HMBS	PBGD, UPS, PORC	NA	3145	ENSG00000256269
HMCES	C3orf37	DC12, SRAPD1	56941	ENSG00000183624
HMCN1	ARMD1	FBLN6, FIBL6, FIBL-6	83872	ENSG00000143341
HMCN2	NA	DKFZp434P0216, FLJ23816	256158	ENSG00000148357
HMG1P	NA	NA	NA	NA
HMG20A	NA	HMGX1, FLJ10739, HMGXB1	10363	ENSG00000140382
HMG20B	NA	SOXL, HMGX2, BRAF35, SMARCE1r, BRAF25, HMGXB2	10362	ENSG00000064961
HMGA1	HMGIY	NA	3159	ENSG00000137309
HMGA1P1	HMGA1L1	HMGIYL1	203477	ENSG00000236683
HMGA1P2	HMGA1L2	HMGIYL2	171559	ENSG00000248641
HMGA1P3	HMGA1L3	HMGIYL3	144712	ENSG00000258011
HMGA1P4	NA	NA	100506080	ENSG00000234705
HMGA1P5	HMGA1L5	NA	387063	ENSG00000233313
HMGA1P6	HMGA1L6	NA	100130029	ENSG00000233440
HMGA1P7	HMGA1L7	NA	387065	ENSG00000216753
HMGA1P8	NA	HMGA1-p	100130009	ENSG00000233155
HMGA2	HMGIC	BABL, LIPO	8091	ENSG00000149948
HMGA2-AS1	NA	RP11-366L20.2	100129940	ENSG00000197301
HMGB1	HMG1	HMG3, SBP-1, DKFZp686A04236	3146	ENSG00000189403
HMGB1L15~withdrawn	HMGB1P2, HMGB1L15	NA	NA	NA
HMGB1P1	HMG1L1, HMGB1L1	HMG1L7	10357	ENSG00000124097
HMGB1P3	HMG1L3, HMGB1L3	NA	10356	ENSG00000250011
HMGB1P4	HMG1L4, HMG1L4P, HMGB1L4	NA	10355	ENSG00000214821
HMGB1P5	HMG1L5, HMGB1L15, HMGB1P2, HMGB1L5	NA	10354	ENSG00000132967
HMGB1P6	HMG1L6, HMGB1L6	NA	645292	ENSG00000259781
HMGB1P7	NA	NA	100420044	ENSG00000231148
HMGB1P8	HMG1L8, HMGB1L8	NA	692147	ENSG00000259699
HMGB1P9	HMG1L9, HMGB1L9	NA	654503	ENSG00000224159
HMGB1P10	HMG1L10, HMGB1L10	NA	100130561	ENSG00000213707
HMGB1P11	HMGB1L11	NA	100419996	ENSG00000230547
HMGB1P12	HMGB1L12	NA	100129723	ENSG00000223904
HMGB1P13	HMGB1L13	NA	100129706	ENSG00000220557
HMGB1P14	HMGB1P, HMGB1L14	NA	319130	ENSG00000180189
HMGB1P15	NA	NA	644129	ENSG00000238190
HMGB1P16	NA	NA	646577	ENSG00000229384
HMGB1P17	NA	NA	100419974	ENSG00000217482
HMGB1P18	NA	NA	646526	ENSG00000236407
HMGB1P19	NA	NA	100419979	ENSG00000253463
HMGB1P20	NA	NA	100128227	ENSG00000219163
HMGB1P21	NA	NA	100419947	ENSG00000248909
HMGB1P22	NA	NA	644659	ENSG00000250721
HMGB1P23	NA	NA	100873891	ENSG00000253770
HMGB1P24	NA	NA	100420063	ENSG00000275029
HMGB1P25	NA	NA	644651	ENSG00000230886
HMGB1P26	NA	NA	645201	ENSG00000225984
HMGB1P27	NA	NA	100527948	ENSG00000230611
HMGB1P28	NA	NA	100133310	ENSG00000249745
HMGB1P29	NA	NA	100873892	ENSG00000250862
HMGB1P30	NA	NA	100873893	ENSG00000244089
HMGB1P31	NA	NA	NA	ENSG00000233266
HMGB1P32	NA	NA	100419995	ENSG00000226837
HMGB1P33	NA	NA	100873905	ENSG00000261174
HMGB1P34	NA	NA	100420100	NA
HMGB1P35	NA	NA	100419950	ENSG00000251566
HMGB1P36	NA	NA	100419968	ENSG00000243873
HMGB1P37	NA	NA	100132863	ENSG00000213467
HMGB1P38	NA	NA	NA	ENSG00000243877
HMGB1P39	NA	NA	100419972	ENSG00000203489
HMGB1P40	NA	NA	100506595	ENSG00000255291
HMGB1P41	NA	NA	NA	ENSG00000253516
HMGB1P42	NA	NA	100873906	ENSG00000254735
HMGB1P43	NA	NA	100420041	NA
HMGB1P44	NA	NA	100130279	ENSG00000248956
HMGB1P45	NA	NA	100129919	ENSG00000229316
HMGB1P46	NA	NA	100419978	ENSG00000254146
HMGB1P47	NA	NA	100873897	ENSG00000249338
HMGB1P48	NA	NA	100128639	ENSG00000234379
HMGB1P49	NA	NA	100420013	ENSG00000230519
HMGB1P50	NA	NA	109729125	ENSG00000271237
HMGB1P51	NA	NA	109729159	ENSG00000270986
HMGB2	HMG2	NA	3148	ENSG00000164104
HMGB2P1	NA	NA	729119	ENSG00000267736
HMGB3	HMG4	HMG2A, MGC90319	3149	ENSG00000029993
HMGB3P1	HMG4L, HMGB3L1	dJ18C9.3	128872	ENSG00000225336
HMGB3P2	HMG4L2, HMGB3L2	dJ550H1.1	128879	ENSG00000231470
HMGB3P3	NA	NA	100419949	ENSG00000250730
HMGB3P4	NA	NA	100873890	ENSG00000228808
HMGB3P5	NA	NA	645360	ENSG00000237642
HMGB3P6	NA	NA	729952	ENSG00000213070
HMGB3P7	NA	NA	100420033	ENSG00000215399
HMGB3P8	NA	NA	100506039	ENSG00000227096
HMGB3P9	NA	NA	NA	ENSG00000229992
HMGB3P10	NA	NA	100129320	ENSG00000223656
HMGB3P11	NA	NA	644442	ENSG00000213301
HMGB3P12	NA	NA	NA	ENSG00000237603
HMGB3P13	NA	NA	100289158	ENSG00000214288
HMGB3P14	NA	NA	NA	ENSG00000231845
HMGB3P15	NA	NA	644429	ENSG00000250897
HMGB3P16	NA	NA	NA	ENSG00000248430
HMGB3P17	NA	NA	100419948	ENSG00000249400
HMGB3P18	NA	NA	644502	ENSG00000220184
HMGB3P19	NA	NA	729635	ENSG00000217085
HMGB3P20	NA	NA	442661	ENSG00000226059
HMGB3P21	NA	NA	NA	ENSG00000224551
HMGB3P22	NA	NA	729595	ENSG00000225051
HMGB3P23	NA	NA	100288563	ENSG00000235148
HMGB3P24	NA	NA	646993	ENSG00000215283
HMGB3P25	NA	NA	NA	NA
HMGB3P26	NA	NA	100130405	ENSG00000259428
HMGB3P27	NA	NA	441795	ENSG00000267132
HMGB3P28	NA	NA	100131036	NA
HMGB3P29	NA	NA	100420015	NA
HMGB3P30	NA	NA	203510	ENSG00000213652
HMGB3P31	NA	NA	392545	ENSG00000231929
HMGB3P32	NA	NA	100507549	ENSG00000260828
HMGB4	NA	FLJ40388	127540	ENSG00000176256
HMGCL	NA	HL	3155	ENSG00000117305
HMGCLL1	NA	DKFZP434G1411, bA418P12.1	54511	ENSG00000146151
HMGCR	NA	NA	3156	ENSG00000113161
HMGCS1	HMGCS	NA	3157	ENSG00000112972
HMGCS2	NA	NA	3158	ENSG00000134240
HMGN1	HMG14	FLJ27265, FLJ31471, MGC104230, MGC117425	3150	ENSG00000205581
HMGN1P1	HMGN1L1	NA	319131	ENSG00000259318
HMGN1P2	HMG14P, HMGN1L2	NA	54048	ENSG00000229046
HMGN1P3	NA	NA	100036574	ENSG00000258967
HMGN1P4	NA	NA	100036575	ENSG00000224040
HMGN1P5	NA	NA	NA	ENSG00000230942
HMGN1P6	NA	NA	NA	ENSG00000224070
HMGN1P7	NA	NA	100129555	ENSG00000239614
HMGN1P8	NA	NA	NA	ENSG00000241120
HMGN1P9	NA	NA	NA	ENSG00000248377
HMGN1P10	NA	NA	NA	ENSG00000244101
HMGN1P11	NA	NA	644534	ENSG00000248336
HMGN1P12	NA	NA	NA	ENSG00000247911
HMGN1P13	NA	NA	NA	ENSG00000249619
HMGN1P14	NA	NA	NA	ENSG00000249439
HMGN1P15	NA	NA	NA	ENSG00000250197
HMGN1P16	NA	NA	NA	ENSG00000249503
HMGN1P17	NA	NA	NA	ENSG00000250787
HMGN1P18	NA	NA	NA	ENSG00000234927
HMGN1P19	NA	NA	NA	ENSG00000224519
HMGN1P20	NA	NA	NA	ENSG00000239539
HMGN1P21	NA	NA	728325	NA
HMGN1P22	NA	NA	NA	NA
HMGN1P23	NA	NA	NA	NA
HMGN1P24	NA	NA	NA	ENSG00000226977
HMGN1P25	NA	NA	100507124	NA
HMGN1P26	NA	NA	100128015	ENSG00000259557
HMGN1P27	NA	NA	NA	NA
HMGN1P28	NA	NA	NA	ENSG00000254114
HMGN1P29	NA	NA	100885865	NA
HMGN1P30	NA	NA	100132992	ENSG00000235028
HMGN1P31	NA	NA	728111	ENSG00000267513
HMGN1P32	NA	NA	NA	ENSG00000237589
HMGN1P33	NA	NA	NA	ENSG00000230326
HMGN1P34	NA	NA	NA	ENSG00000224755
HMGN1P35	NA	NA	NA	ENSG00000172186
HMGN1P36	NA	NA	728851	ENSG00000235734
HMGN1P37	NA	NA	728776	ENSG00000229237
HMGN1P38	NA	NA	643790	ENSG00000253954
HMGN2	HMG17	NA	3151	ENSG00000198830
HMGN2P1	HMGN2P, HMGN2L1	NA	319132	NA
HMGN2P2	HMGN2L2	NA	317726	ENSG00000258452
HMGN2P3	HMGN2L3	NA	728632	ENSG00000230330
HMGN2P4	HMGN2L4	NA	643744	ENSG00000249014
HMGN2P5	HMGN2L5	NA	727795	ENSG00000234664
HMGN2P6	HMGN2L6	NA	643872	ENSG00000257179
HMGN2P7	HMGN2L7	NA	644498	ENSG00000226427
HMGN2P8	HMGN2L8	AC022394.1	100288691	ENSG00000212769
HMGN2P9	HMG17L1, HMGN2L9	dJ388M5.2	23605	ENSG00000180150
HMGN2P10	HMG17L2, HMGN2L10	bK216E10	23606	ENSG00000231261
HMGN2P11	HMG17P1, HMGN2L11	28H	3152	ENSG00000232605
HMGN2P12	HMG17P2, HMGN2L12	60H	3153	NA
HMGN2P13	NA	NA	100289682	ENSG00000241810
HMGN2P14	NA	NA	NA	NA
HMGN2P15	NA	NA	100288165	ENSG00000214578
HMGN2P16	HMGN2L	Em:AL513423.2	728234	ENSG00000231376
HMGN2P17	NA	NA	100113373	ENSG00000238249
HMGN2P18	NA	NA	648822	ENSG00000223452
HMGN2P19	NA	NA	NA	ENSG00000229367
HMGN2P20	NA	NA	646049	ENSG00000232963
HMGN2P21	NA	NA	NA	ENSG00000228034
HMGN2P22	NA	NA	NA	ENSG00000227259
HMGN2P23	NA	NA	100874469	ENSG00000236124
HMGN2P24	NA	NA	729505	ENSG00000229072
HMGN2P25	NA	NA	729687	ENSG00000228398
HMGN2P26	NA	NA	NA	ENSG00000241203
HMGN2P27	NA	NA	NA	ENSG00000232916
HMGN2P28	NA	NA	100128372	ENSG00000236086
HMGN2P29	NA	NA	100874472	NA
HMGN2P30	NA	NA	100131183	ENSG00000213721
HMGN2P31	NA	NA	645930	ENSG00000214195
HMGN2P32	NA	NA	NA	ENSG00000213558
HMGN2P33	NA	NA	100874474	NA
HMGN2P34	NA	NA	NA	ENSG00000231471
HMGN2P35	NA	NA	NA	ENSG00000232875
HMGN2P36	NA	NA	NA	ENSG00000228901
HMGN2P37	NA	NA	NA	NA
HMGN2P38	NA	NA	100874482	ENSG00000231726
HMGN2P39	NA	NA	NA	ENSG00000214281
HMGN2P40	NA	NA	100874484	ENSG00000260602
HMGN2P41	NA	NA	729564	ENSG00000261620
HMGN2P42	NA	NA	100874485	NA
HMGN2P43	NA	NA	NA	NA
HMGN2P44	NA	NA	NA	NA
HMGN2P45	NA	NA	NA	NA
HMGN2P46	C15orf21	FLJ39426, D-PCa-2	283651	ENSG00000179362
HMGN2P47	NA	NA	106480791	ENSG00000259246
HMGN3	TRIP7	NA	9324	ENSG00000118418
HMGN3-AS1	NA	NA	100288198	ENSG00000270362
HMGN3P1	NA	NA	100289191	ENSG00000183586
HMGN4	HMG17L3	NHC	10473	ENSG00000182952
HMGN5	NSBP1	NA	79366	ENSG00000198157
HMGXB3	HMGX3	SMF, KIAA0194	22993	ENSG00000113716
HMGXB4	HMG2L1	THC211630	10042	ENSG00000100281
HMHB1	NA	HB-1, HB-1Y	57824	ENSG00000158497
HMI	NA	IPA, ITO	NA	NA
HMMR	NA	RHAMM, CD168	3161	ENSG00000072571
HMMR-AS1	NA	NA	101927813	ENSG00000251018
HMOX1	NA	bK286B10, HO-1	3162	ENSG00000100292
HMOX2	NA	HO-2	3163	ENSG00000103415
HMR~withdrawn	NA	NA	NA	NA
HMS1	NA	NA	NA	NA
HMSD	C18orf53	ACC-6, ACC6	284293	ENSG00000221887
HMX1	NA	H6, NKX5-3	3166	ENSG00000215612
HMX2	NA	NKX5-2	3167	ENSG00000188816
HMX3	NA	NKX5-1	340784	ENSG00000188620
HNB1	NA	NA	NA	NA
HNF1A	MODY3, TCF1	HNF1, LFB1	6927	ENSG00000135100
HNF1A-AS1	C12orf27, NCRNA00262	FLJ38690, HAS1	283460	ENSG00000241388
HNF1B	TCF2	LFB3, VHNF1, HNF1beta, MODY5	6928	ENSG00000275410
HNF4A	TCF14, MODY, MODY1	NR2A1, HNF4	3172	ENSG00000101076
HNF4A-AS1	NA	uc002xlx	101927219	ENSG00000229005
HNF4G	NA	NR2A2	3174	ENSG00000164749
HNF4GP1	NA	NA	100130462	ENSG00000228611
HNF6A~withdrawn	NA	NA	NA	NA
HNMT	NA	NA	3176	ENSG00000150540
HNP36~withdrawn	NA	NA	NA	NA
HNRNPA0	HNRPA0	NA	10949	ENSG00000177733
HNRNPA1	HNRPA1	hnRNP-A1, ALS20	3178	ENSG00000135486
HNRNPA1L2	NA	LOC144983	144983	ENSG00000139675
HNRNPA1P1	HNRPA1P1	hnRNPA1-Lp, b34I8.2	645950	ENSG00000218347
